epsilon,log_epsilon,counts,log_counts,iteration
0.5,-0.6931471805599453,3,1.0986122886681098,1
0.25,-1.3862943611198906,7,1.9459101490553132,1
0.125,-2.0794415416798357,13,2.5649493574615367,1
0.0625,-2.772588722239781,25,3.218875824868201,1
0.03125,-3.4657359027997265,50,3.912023005428146,1
0.015625,-4.1588830833596715,100,4.605170185988092,1
0.0078125,-4.852030263919617,198,5.288267030694535,1
0.00390625,-5.545177444479562,397,5.983936280687191,1
0.001953125,-6.238324625039508,794,6.677083461247136,1
0.0009765625,-6.931471805599453,1591,7.372118028337787,1
0.5,-0.6931471805599453,3,1.0986122886681098,2
0.25,-1.3862943611198906,7,1.9459101490553132,2
0.125,-2.0794415416798357,15,2.70805020110221,2
0.0625,-2.772588722239781,29,3.367295829986474,2
0.03125,-3.4657359027997265,69,4.23410650459726,2
0.015625,-4.1588830833596715,133,4.890349128221754,2
0.0078125,-4.852030263919617,271,5.602118820879701,2
0.00390625,-5.545177444479562,551,6.311734809152915,2
0.001953125,-6.238324625039508,1109,7.011213987350367,2
0.0009765625,-6.931471805599453,2219,7.704811922932594,2
0.5,-0.6931471805599453,3,1.0986122886681098,3
0.25,-1.3862943611198906,7,1.9459101490553132,3
0.125,-2.0794415416798357,15,2.70805020110221,3
0.0625,-2.772588722239781,33,3.49650756146648,3
0.03125,-3.4657359027997265,89,4.48863636973214,3
0.015625,-4.1588830833596715,174,5.159055299214529,3
0.0078125,-4.852030263919617,360,5.886104031450156,3
0.00390625,-5.545177444479562,736,6.601230118728877,3
0.001953125,-6.238324625039508,1490,7.306531398939505,3
0.0009765625,-6.931471805599453,2989,8.002694162283937,3
0.5,-0.6931471805599453,3,1.0986122886681098,4
0.25,-1.3862943611198906,7,1.9459101490553132,4
0.125,-2.0794415416798357,15,2.70805020110221,4
0.0625,-2.772588722239781,33,3.49650756146648,4
0.03125,-3.4657359027997265,89,4.48863636973214,4
0.015625,-4.1588830833596715,197,5.2832037287379885,4
0.0078125,-4.852030263919617,461,6.133398042996649,4
0.00390625,-5.545177444479562,945,6.851184927493743,4
0.001953125,-6.238324625039508,1965,7.583247524303362,4
0.0009765625,-6.931471805599453,3963,8.284756593190435,4
0.5,-0.6931471805599453,3,1.0986122886681098,5
0.25,-1.3862943611198906,7,1.9459101490553132,5
0.125,-2.0794415416798357,15,2.70805020110221,5
0.0625,-2.772588722239781,33,3.49650756146648,5
0.03125,-3.4657359027997265,91,4.51085950651685,5
0.015625,-4.1588830833596715,201,5.303304908059076,5
0.0078125,-4.852030263919617,529,6.270988431858299,5
0.00390625,-5.545177444479562,1147,7.044905117129371,5
0.001953125,-6.238324625039508,2531,7.836369760545124,5
0.0009765625,-6.931471805599453,5197,8.555836815008442,5
0.5,-0.6931471805599453,3,1.0986122886681098,6
0.25,-1.3862943611198906,7,1.9459101490553132,6
0.125,-2.0794415416798357,15,2.70805020110221,6
0.0625,-2.772588722239781,33,3.49650756146648,6
0.03125,-3.4657359027997265,91,4.51085950651685,6
0.015625,-4.1588830833596715,201,5.303304908059076,6
0.0078125,-4.852030263919617,537,6.285998094508865,6
0.00390625,-5.545177444479562,1239,7.122059881629142,6
0.001953125,-6.238324625039508,3093,8.03689677268507,6
0.0009765625,-6.931471805599453,6591,8.79346036105272,6
