window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
full,-0.9930640072000636,0.4808272193590359,0.9996488359840072,0.0370562056634756,0.0884038962837068,0.9930640072000636,0.2687954999428512,0.2130153938860074,0.0065805700911457,1
coarse,-0.9954288645824256,0.4781379922963733,0.9971825193312492,0.0518673229197184,0.0878147348923481,0.9954288645824256,0.2664306425604892,0.2111412887507087,0.0305487009206431,1
fine,-0.9987362438175992,0.4471453051893563,0.9999896878619658,0.0031438938022037,0.0047767551712141,0.9987362438175992,0.2631232633253155,0.2085202527190017,0.0018516836050603,1
slide_1_to_5,-0.9954288645824256,0.4781379922963733,0.9971825193312492,0.0518673229197184,0.0878147348923481,0.9954288645824256,0.2664306425604892,0.2111412887507087,0.0305487009206431,1
slide_2_to_6,-0.9616419007067876,0.583148215827392,0.9994020531042672,0.0230576491289566,0.0305098796920582,0.9616419007067876,0.3002176064361271,0.237916824128762,0.0135804430906112,1
slide_3_to_7,-0.9857833803877036,0.5013922270951578,0.9998933400707256,0.009980349698947,0.0156882852613131,0.9857833803877036,0.2760761267552111,0.2187851541256751,0.0058782042502558,1
slide_4_to_8,-0.9963778445041356,0.4578355033906094,0.9999931135545164,0.0025630883293333,0.0040239285291345,0.9963778445041356,0.2654816626387792,0.2103892399557849,0.0015096020846224,1
slide_5_to_9,-0.99674170221047,0.4570750883730641,0.999992189788565,0.0027305880123663,0.0050289621144843,0.99674170221047,0.2651178049324447,0.2101008895457156,0.0016082556768005,1
slide_6_to_10,-0.9987362438175992,0.4471453051893563,0.9999896878619658,0.0031438938022037,0.0047767551712141,0.9987362438175992,0.2631232633253155,0.2085202527190017,0.0018516836050603,1
full,-1.0517863990437974,0.4776850904278893,0.9992379315420362,0.0578285793440562,0.1112075289268412,1.0517863990437974,0.2100731080991174,0.1664789993735214,0.0102694005722225,2
coarse,-1.1097749985183996,0.3630827608450353,0.9982457173463116,0.0456043691236076,0.0727365759743454,1.1097749985183996,0.1520845086245152,0.12052412155523,0.0268599602718648,2
fine,-1.015371764219948,0.6736291289935901,0.999968134855773,0.0056186296271954,0.007689075445449,1.015371764219948,0.2464877429229668,0.1953369147101495,0.0033092480275344,2
slide_1_to_5,-1.1097749985183996,0.3630827608450353,0.9982457173463116,0.0456043691236076,0.0727365759743454,1.1097749985183996,0.1520845086245152,0.12052412155523,0.0268599602718648,2
slide_2_to_6,-1.0697488888056823,0.4631686578614298,0.998412134180454,0.0418190610696637,0.0634707158218637,1.0697488888056823,0.1921106183372323,0.1522440630274336,0.0246304979221017,2
slide_3_to_7,-1.0547818331864325,0.5047888280623494,0.9981709198515,0.044260570917635,0.0737224076397788,1.0547818331864325,0.2070776739564823,0.1641051739787932,0.0260684929822296,2
slide_4_to_8,-1.0469479611462875,0.5269868537984266,0.9979859960119286,0.0461034572453373,0.0786745134911717,1.0469479611462875,0.2149115459966273,0.1703133706883321,0.0271539120878744,2
slide_5_to_9,-1.0063664459837052,0.7269841975342359,0.9997998102710132,0.0139592144080638,0.0219954571749081,1.0063664459837052,0.2554930611592096,0.2024734605659021,0.0082216671698896,2
slide_6_to_10,-1.015371764219948,0.6736291289935901,0.999968134855773,0.0056186296271954,0.007689075445449,1.015371764219948,0.2464877429229668,0.1953369147101495,0.0033092480275344,2
full,-1.1101424107860265,0.4371267067541735,0.9981439267343118,0.0953086028134536,0.2040492526961923,1.1101424107860265,0.1517170963568883,0.1202329542219831,0.0169252337057575,3
coarse,-1.201858105779133,0.2483496416430828,0.9977663914826144,0.0557420258878021,0.084100309992293,1.201858105779133,0.0600014013637817,0.0475499855761566,0.0328308148888446,3
fine,-1.0254250890678578,0.9049589272208696,0.99992736928976,0.0085668332901411,0.0105266841832385,1.0254250890678578,0.236434418075057,0.1873698432643968,0.0050456744880187,3
slide_1_to_5,-1.201858105779133,0.2483496416430828,0.9977663914826144,0.0557420258878021,0.084100309992293,1.201858105779133,0.0600014013637817,0.0475499855761566,0.0328308148888446,3
slide_2_to_6,-1.184001998294013,0.2768813285347895,0.9971579836057036,0.0619618246412183,0.1083168067231685,1.184001998294013,0.0778575088489017,0.0617006159625374,0.0364941381762013,3
slide_3_to_7,-1.1568474377932592,0.3383429933711319,0.995672843192519,0.0747583200814889,0.1409656771390359,1.1568474377932592,0.1050120693496556,0.0832200960211668,0.0440309897049028,3
slide_4_to_8,-1.0974455338760398,0.562159010372751,0.994821740641108,0.0776144706560359,0.1230209712379837,1.0974455338760398,0.164413973266875,0.1302949911112838,0.0457131989413657,3
slide_5_to_9,-1.0211344828974538,0.933736029062687,0.999849934066188,0.0122630090133176,0.0214596566056046,1.0211344828974538,0.240725024245461,0.1907700682071234,0.0072226398751084,3
slide_6_to_10,-1.0254250890678578,0.9049589272208696,0.99992736928976,0.0085668332901411,0.0105266841832385,1.0254250890678578,0.236434418075057,0.1873698432643968,0.0050456744880187,3
full,-1.1677748360972255,0.3354316452416013,0.9986665295762048,0.0849557922687788,0.1450734037476078,1.1677748360972255,0.0940846710456893,0.0745603377500515,0.0150867455440651,4
coarse,-1.201858105779133,0.2483496416430828,0.9977663914826144,0.0557420258878021,0.084100309992293,1.201858105779133,0.0600014013637817,0.0475499855761566,0.0328308148888446,4
fine,-1.0752341521739843,0.8647939951751527,0.998690051666055,0.0381729066856156,0.0533633925641261,1.0752341521739843,0.1866253549689305,0.1478970946547647,0.0224829939924892,4
slide_1_to_5,-1.201858105779133,0.2483496416430828,0.9977663914826144,0.0557420258878021,0.084100309992293,1.201858105779133,0.0600014013637817,0.0475499855761566,0.0328308148888446,4
slide_2_to_6,-1.2198236630155426,0.2023922708207139,0.9979138654435435,0.0546716451745099,0.0879540405523462,1.2198236630155426,0.0420358441273722,0.0333126183140223,0.0322003844281809,4
slide_3_to_7,-1.2461122389739565,0.1032632552769019,0.9988349567452884,0.0417178366003795,0.0666771889250448,1.2461122389739565,0.0157472681689585,0.0124794147682996,0.0245708789584878,4
slide_4_to_8,-1.2052442308962907,0.2381162828939782,0.9970612636071928,0.0641408799650265,0.0832552835551125,1.2052442308962907,0.0566152762466241,0.0448665449094342,0.0377775533522571,4
slide_5_to_9,-1.11912790320112,0.6378916631240381,0.998920203964042,0.0360682979684314,0.0654639243438719,1.11912790320112,0.1427316039417947,0.1131121199577643,0.0212434262138336,4
slide_6_to_10,-1.0752341521739843,0.8647939951751527,0.998690051666055,0.0381729066856156,0.0533633925641261,1.0752341521739843,0.1866253549689305,0.1478970946547647,0.0224829939924892,4
full,-1.2166588333828838,0.2388544535960877,0.9990710285763296,0.0738625409284953,0.1288684978233245,1.2166588333828838,0.045200673760031,0.0358206864584899,0.013116767326477,5
coarse,-1.208270347625593,0.2394603869291987,0.9972892764427742,0.0617499509235523,0.0929895647061771,1.208270347625593,0.0535891595173219,0.0424684041400597,0.036369349263461,5
fine,-1.1643191184974604,0.5459248924516187,0.997067425494502,0.0618977340993386,0.0848870699438757,1.1643191184974604,0.0975403886454544,0.0772989291544064,0.0364563902708632,5
slide_1_to_5,-1.208270347625593,0.2394603869291987,0.9972892764427742,0.0617499509235523,0.0929895647061771,1.208270347625593,0.0535891595173219,0.0424684041400597,0.036369349263461,5
slide_2_to_6,-1.228829758283283,0.1858869358711197,0.9975234477034876,0.0600197765234488,0.0964189037735061,1.228829758283283,0.0330297488596318,0.0261754566753769,0.0353503149791728,5
slide_3_to_7,-1.2887124204831493,-0.0083947822518046,0.9985249223959032,0.0485539373068714,0.0681671795236256,1.2887124204831493,0.0268529133402344,0.0212804303396932,0.0285971904045031,5
slide_4_to_8,-1.2777840385230077,0.011158683005676,0.99807409756889,0.0550216571033439,0.0712388051775567,1.2777840385230077,0.0159245313800928,0.0126198925395022,0.032406533678437,5
slide_5_to_9,-1.2107992288660874,0.3184510428329536,0.99857746789921,0.0447973940641019,0.0777028870365548,1.2107992288660874,0.0510602782768274,0.0404643131725792,0.0263846698894912,5
slide_6_to_10,-1.1643191184974604,0.5459248924516187,0.997067425494502,0.0618977340993386,0.0848870699438757,1.1643191184974604,0.0975403886454544,0.0772989291544064,0.0364563902708632,5
full,-1.251398088918501,0.1594491584685879,0.99931905893972,0.0650355172785061,0.1325538253699583,1.251398088918501,0.0104614182244138,0.0082904777950284,0.0115492337167939,6
coarse,-1.208270347625593,0.2394603869291987,0.9972892764427742,0.0617499509235523,0.0929895647061771,1.208270347625593,0.0535891595173219,0.0424684041400597,0.036369349263461,6
fine,-1.259647276803486,0.1233763362561823,0.9982933974074364,0.0510536165450864,0.061125559366955,1.259647276803486,0.0022122303394289,0.0017531510654762,0.030069445943197,6
slide_1_to_5,-1.208270347625593,0.2394603869291987,0.9972892764427742,0.0617499509235523,0.0929895647061771,1.208270347625593,0.0535891595173219,0.0424684041400597,0.036369349263461,6
slide_2_to_6,-1.228829758283283,0.1858869358711197,0.9975234477034876,0.0600197765234488,0.0964189037735061,1.228829758283283,0.0330297488596318,0.0261754566753769,0.0353503149791728,6
slide_3_to_7,-1.2930432936574268,-0.0204025123722564,0.998424815542728,0.0503456034344833,0.0681671795236265,1.2930432936574268,0.0311837865145119,0.0247125661279977,0.0296524419502009,6
slide_4_to_8,-1.3022116343351016,-0.0719999465543228,0.9987058094370376,0.0459517818295993,0.069737838912502,1.3022116343351016,0.0403521271921867,0.0319783042119732,0.0270645786376086,6
