eps,ln eps,N(eps),ln N
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,7,1.9459101490553132
0.125,-2.0794415416798357,13,2.5649493574615367
0.0625,-2.772588722239781,25,3.218875824868201
0.03125,-3.4657359027997265,50,3.912023005428146
0.015625,-4.1588830833596715,100,4.605170185988092
0.0078125,-4.852030263919617,198,5.288267030694535
0.00390625,-5.545177444479562,397,5.983936280687191
0.001953125,-6.238324625039508,794,6.677083461247136
0.0009765625,-6.931471805599453,1591,7.372118028337787
