epsilon,log_epsilon,N_base,N_dense,delta_percent,points_sampled,duration
0.5,0.6931471805599453,3.0,3.0,0.0,129,0.002302408218383789
0.25,1.3862943611198906,7.0,7.0,0.0,257,0.002317667007446289
0.125,2.0794415416798357,15.0,15.0,0.0,513,0.005050182342529297
0.0625,2.772588722239781,29.0,29.0,0.0,1025,0.0068569183349609375
0.03125,3.4657359027997265,69.0,69.0,0.0,2049,0.014678001403808594
0.015625,4.1588830833596715,133.0,133.0,0.0,4097,0.0353851318359375
0.0078125,4.852030263919617,271.0,272.0,0.3676470588235294,8193,0.0587618350982666
0.00390625,5.545177444479562,551.0,552.0,0.18115942028985507,16385,0.12056922912597656
0.001953125,6.238324625039508,1109.0,1113.0,0.3593890386343217,32769,0.21245694160461426
0.0009765625,6.931471805599453,2219.0,2225.0,0.2696629213483146,65537,0.4309720993041992
