epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,3.0,3.0,0.0
0.25,1.3862943611198906,7.0,7.0,0.0
0.125,2.0794415416798357,15.0,15.0,0.0
0.0625,2.772588722239781,33.0,33.0,0.0
0.03125,3.4657359027997265,91.0,91.0,0.0
0.015625,4.1588830833596715,201.0,201.0,0.0
0.0078125,4.852030263919617,523.0,527.0,0.7590132827324478
0.00390625,5.545177444479562,1117.0,1133.0,1.412180052956752
0.001953125,6.238324625039508,2425.0,2459.0,1.3826758845058966
0.0009765625,6.931471805599453,4931.0,5073.0,2.79913266311847
