fractal,iteration,log_epsilon_mid,local_dimension
sierpinski,1,-6.58489821531948,1.9951751746747717
sierpinski,1,-5.891751034759535,1.9861247712779344
sierpinski,1,-5.19860385419959,1.964699127913422
sierpinski,1,-4.505456673639644,1.9625652578793789
sierpinski,1,-3.812309493079699,1.8955456220145113
sierpinski,1,-3.119162312519754,1.8130162571480304
sierpinski,1,-2.4260151319598084,1.6389013078319596
sierpinski,1,-1.732867951399863,1.5443205162238103
sierpinski,1,-1.0397207708399179,1.2630344058337941
sierpinski,2,-6.58489821531948,1.9876265047406494
sierpinski,2,-5.891751034759535,1.9674341178369819
sierpinski,2,-5.19860385419959,1.947284781642363
sierpinski,2,-4.505456673639644,1.9108263247186734
sierpinski,2,-3.812309493079699,1.8282593213219018
sierpinski,2,-3.119162312519754,1.648889827510706
sierpinski,2,-2.4260151319598084,1.5572175102382522
sierpinski,2,-1.732867951399863,1.5443205162238103
sierpinski,2,-1.0397207708399179,1.2630344058337941
sierpinski,3,-6.58489821531948,1.9711887626248807
sierpinski,3,-5.891751034759535,1.9438951380636302
sierpinski,3,-5.19860385419959,1.8954406848810328
sierpinski,3,-4.505456673639644,1.8309497079830286
sierpinski,3,-3.812309493079699,1.68723753616011
sierpinski,3,-3.119162312519754,1.561426986260367
sierpinski,3,-2.4260151319598084,1.5572175102382522
sierpinski,3,-1.732867951399863,1.5443205162238103
sierpinski,3,-1.0397207708399179,1.2630344058337941
sierpinski,4,-6.58489821531948,1.94595902691842
sierpinski,4,-5.891751034759535,1.8950799316607343
sierpinski,4,-5.19860385419959,1.8077001057034399
sierpinski,4,-4.505456673639644,1.7074648610940986
sierpinski,4,-3.812309493079699,1.5881228416144841
sierpinski,4,-3.119162312519754,1.561426986260367
sierpinski,4,-2.4260151319598084,1.5572175102382522
sierpinski,4,-1.732867951399863,1.5443205162238103
sierpinski,4,-1.0397207708399179,1.2630344058337941
sierpinski,5,-6.58489821531948,1.894758329438674
sierpinski,5,-5.891751034759535,1.8095150239861908
sierpinski,5,-5.19860385419959,1.688216981805817
sierpinski,5,-4.505456673639644,1.6053376742886178
sierpinski,5,-3.812309493079699,1.5881228416144841
sierpinski,5,-3.119162312519754,1.561426986260367
sierpinski,5,-2.4260151319598084,1.6865005271832183
sierpinski,5,-1.732867951399863,1.540568381362703
sierpinski,5,-1.0397207708399179,1.1375035237499354
sierpinski,6,-6.58489821531948,1.8047284244383948
sierpinski,6,-5.891751034759535,1.696320643141282
sierpinski,6,-5.19860385419959,1.5839245905750305
sierpinski,6,-4.505456673639644,1.6180207893004512
sierpinski,6,-3.812309493079699,1.5754397266026507
sierpinski,6,-3.119162312519754,1.7087687023355536
sierpinski,6,-2.4260151319598084,1.6811778159804593
sierpinski,6,-1.732867951399863,1.3985493764902752
sierpinski,6,-1.0397207708399179,1.8744691179161412
