window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
full,-1.8150861629471433,-0.0934824236881493,0.9964182342384869,0.21665935128165362,0.44479847980206766,1.8150861629471433,0.230123662225987,0.1451918654992033,0.03847512235760622,1
coarse,-1.570176679813096,0.39272448324399045,0.9957960027673387,0.10000806012034293,0.12834989059668644,1.570176679813096,0.014785820908060243,0.009328814341874152,0.058902525642180105,1
fine,-1.976795256268237,-0.9671199942913855,0.999985788455818,0.007305095029476314,0.01046114409292187,1.976795256268237,0.39183275554708064,0.24721894389854468,0.004302538683164484,1
slide_1_to_5,-1.570176679813096,0.39272448324399045,0.9957960027673387,0.10000806012034293,0.12834989059668644,1.570176679813096,0.014785820908060243,0.009328814341874152,0.058902525642180105,1
slide_2_to_6,-1.7235484971416617,0.009621809669697612,0.9981413524756679,0.07290653554991326,0.09696505284884882,1.7235484971416617,0.1385859964205054,0.08743802857004435,0.04294032975485311,1
slide_3_to_7,-1.8328618768910303,-0.33642887292039614,0.998832132182866,0.06143569700447608,0.0804478074413284,1.8328618768910303,0.247899376169874,0.15640709231737662,0.03618426068655966,1
slide_4_to_8,-1.9129763409804574,-0.6543083511693473,0.9997136989983845,0.031733916144894965,0.04175960448455207,1.9129763409804574,0.32801384025930114,0.20695369140282827,0.0186905716119498,1
slide_5_to_9,-1.9545133943963293,-0.8479359021955002,0.9999290956962273,0.016133582179676795,0.022143647913825504,1.9545133943963293,0.369550893675173,0.23316065427858876,0.00950232148183114,1
slide_6_to_10,-1.976795256268237,-0.9671199942913855,0.999985788455818,0.007305095029476314,0.01046114409292187,1.976795256268237,0.39183275554708064,0.24721894389854468,0.004302538683164484,1
full,-1.7586560070072013,-0.030644946723977995,0.9959338364097917,0.22372293848833003,0.4210754063262254,1.7586560070072013,0.17369350628604496,0.10958840111801674,0.03972949878056229,2
coarse,-1.5128462546075188,0.4665394390271369,0.9978510420492784,0.06882026720298093,0.09427335740508869,1.5128462546075188,0.07211624611363754,0.0455002853889759,0.040533608478628885,2
fine,-1.9541062357356678,-1.1004885218486251,0.9999427395727006,0.014495338315521255,0.01849427208928134,1.9541062357356678,0.3691437350145115,0.2329037657651531,0.008537432240916767,2
