epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,5,1.6094379124341003
0.25,-1.3862943611198906,13,2.5649493574615367
0.125,-2.0794415416798357,36,3.58351893845611
0.0625,-2.772588722239781,112,4.718498871295094
0.03125,-3.4657359027997265,388,5.961005339623274
0.015625,-4.1588830833596715,1436,7.269616749608169
0.0078125,-4.852030263919617,5576,8.62622695244036
0.00390625,-5.545177444479562,21723,9.98612688605693
0.001953125,-6.238324625039508,85975,11.361811835300466
0.0009765625,-6.931471805599453,342574,12.744242971741324
