epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,13.0,13.0,0.0
0.125,2.0794415416798357,36.0,37.0,2.7027027027027026
0.0625,2.772588722239781,112.0,114.0,1.7543859649122806
0.03125,3.4657359027997265,388.0,392.0,1.0204081632653061
0.015625,4.1588830833596715,1436.0,1475.0,2.6440677966101696
0.0078125,4.852030263919617,5576.0,5593.0,0.303951367781155
0.00390625,5.545177444479562,21723.0,21756.0,0.1516822945394374
0.001953125,6.238324625039508,85975.0,86295.0,0.3708210209166232
0.0009765625,6.931471805599453,342574.0,342706.0,0.038516979568493113
